"","pandri1","pandri2","pandri5","pandri7","pandri10"
"276","ENSG00000226419","ENSG00000224511",NA,NA,NA
"277","ENSG00000227398","ENSG00000226380",NA,NA,NA
"278","ENSG00000227403","ENSG00000233008",NA,NA,NA
"279","ENSG00000227477","ENSG00000233723",NA,NA,NA
"280","ENSG00000227695","ENSG00000236008",NA,NA,NA
"281","ENSG00000228203","ENSG00000237037",NA,NA,NA
"282","ENSG00000229116","ENSG00000241472",NA,NA,NA
"283","ENSG00000229124","ENSG00000245060",NA,NA,NA
"284","ENSG00000230487","ENSG00000246089",NA,NA,NA
"285","ENSG00000230724","ENSG00000246273",NA,NA,NA
"286","ENSG00000231327","ENSG00000247516",NA,NA,NA
"287","ENSG00000231770","ENSG00000250303",NA,NA,NA
"288","ENSG00000232098","ENSG00000250337",NA,NA,NA
"289","ENSG00000232284","ENSG00000251364",NA,NA,NA
"290","ENSG00000232855","ENSG00000253616",NA,NA,NA
"291","ENSG00000232956","ENSG00000255240",NA,NA,NA
"292","ENSG00000233030","ENSG00000257298",NA,NA,NA
"293","ENSG00000233101","ENSG00000258334",NA,NA,NA
"294","ENSG00000233184","ENSG00000258754",NA,NA,NA
"295","ENSG00000234327","ENSG00000259673",NA,NA,NA
"296","ENSG00000234630","ENSG00000259772",NA,NA,NA
"297","ENSG00000235590","ENSG00000259834",NA,NA,NA
"298","ENSG00000236204","ENSG00000259865",NA,NA,NA
"299","ENSG00000236700","ENSG00000259959",NA,NA,NA
"300","ENSG00000236740","ENSG00000260398",NA,NA,NA
"301","ENSG00000236882","ENSG00000260528",NA,NA,NA
"302","ENSG00000237248","ENSG00000260572",NA,NA,NA
"303","ENSG00000237870","ENSG00000261098",NA,NA,NA
"304","ENSG00000237945","ENSG00000261116",NA,NA,NA
"305","ENSG00000237975","ENSG00000261126",NA,NA,NA
"306","ENSG00000238198","ENSG00000261326",NA,NA,NA
"307","ENSG00000239911","ENSG00000263731",NA,NA,NA
"308","ENSG00000241111","ENSG00000269918",NA,NA,NA
"309","ENSG00000244300","ENSG00000272097",NA,NA,NA
"310","ENSG00000244733","ENSG00000273015",NA,NA,NA
"311","ENSG00000245080","ENSG00000280434",NA,NA,NA
"312","ENSG00000245552","ENSG00000177738",NA,NA,NA
"313","ENSG00000245651","ENSG00000213742",NA,NA,NA
"314","ENSG00000246100","ENSG00000215256",NA,NA,NA
"315","ENSG00000246366","ENSG00000224397",NA,NA,NA
"316","ENSG00000246477","ENSG00000225431",NA,NA,NA
"317","ENSG00000247011","ENSG00000229852",NA,NA,NA
"318","ENSG00000247317","ENSG00000230606",NA,NA,NA
"319","ENSG00000247735","ENSG00000231574",NA,NA,NA
"320","ENSG00000248309","ENSG00000231721",NA,NA,NA
"321","ENSG00000248441","ENSG00000231889",NA,NA,NA
"322","ENSG00000248508","ENSG00000233452",NA,NA,NA
"323","ENSG00000248690","ENSG00000234028",NA,NA,NA
"324","ENSG00000248932","ENSG00000234492",NA,NA,NA
"325","ENSG00000249201","ENSG00000235724",NA,NA,NA
"326","ENSG00000249307","ENSG00000236144",NA,NA,NA
"327","ENSG00000249816","ENSG00000236778",NA,NA,NA
"328","ENSG00000249898","ENSG00000238164",NA,NA,NA
"329","ENSG00000250208","ENSG00000242282",NA,NA,NA
"330","ENSG00000251022","ENSG00000243107",NA,NA,NA
"331","ENSG00000251023","ENSG00000245532",NA,NA,NA
"332","ENSG00000253552","ENSG00000245648",NA,NA,NA
"333","ENSG00000253686","ENSG00000245694",NA,NA,NA
"334","ENSG00000254635","ENSG00000245937",NA,NA,NA
"335","ENSG00000254815","ENSG00000246223",NA,NA,NA
"336","ENSG00000254876","ENSG00000248596",NA,NA,NA
"337","ENSG00000255082","ENSG00000248810",NA,NA,NA
"338","ENSG00000255458","ENSG00000250802",NA,NA,NA
